,3T3L1-D0-rep1,3T3L1-D0-rep2,3T3L1-D0-rep3,3T3L1-D2-rep1,3T3L1-D2-rep2,3T3L1-D2-rep3,3T3L1-D6-rep1,3T3L1-D6-rep2,3T3L1-D6-rep3
ENSMUSG00000045210,1082.64983538735,1067.09386117682,1068.8756193618,1031.42959219399,924.178579323997,1049.87331247042,1459.42503792315,1528.78661929041,1539.69990333966
ENSMUSG00000041763,1481.46874184174,1531.17902155655,1482.57007204071,1981.56424116087,2023.3988737849,2207.82181887162,1728.82753496342,1758.72998115977,1829.85908563146
ENSMUSG00000026504,378.036779815327,347.308851043399,338.477279464569,307.904597472689,342.790025476432,360.250646435929,178.309566386361,220.322300703275,235.449033442168
ENSMUSG00000026483,1816.95164330089,1815.06625632246,1800.26365890658,732.670675834352,838.741551697652,852.250100711282,2306.39547825837,2383.13685083848,2329.08919388435
ENSMUSG00000019699,1386.46473434888,1470.77748224465,1414.28079635927,868.839705739765,844.99304152397,839.898649976336,886.702463280004,979.424026707136,1068.80183645532
ENSMUSG00000063659,179.122139127157,182.211310257551,178.1459365603,258.111444746082,274.023637386935,215.121100300312,460.310021921313,445.455131989591,488.483471871719
ENSMUSG00000026049,30.6783774195684,32.2141542996775,37.6085866071743,151.411831760497,122.945966584252,137.924533206898,58.1444238216396,65.4232159293568,78.157355499475
ENSMUSG00000043019,879.776694386978,871.795550735024,929.327969056229,1451.11473660396,1422.21393548732,1527.46274088834,1178.39365611856,1140.0957481807,1104.94961337383
ENSMUSG00000032666,364.182028722619,371.469466768157,364.209470301057,305.872223892011,365.712154839597,347.899195700982,229.670474095476,275.162349349942,233.495099554681
ENSMUSG00000015961,1370.63073310007,1411.38263525462,1262.85675028301,1796.61824531919,1717.07587229532,1807.42895754712,1118.3110848362,1089.10412400047,1155.75189444849
ENSMUSG00000014980,120.734259522172,132.88338648617,125.691855239767,123.974788421347,159.412990571107,178.066748095473,114.350700182558,92.3621871943861,100.627595205574
ENSMUSG00000026235,403.767031844642,389.589928561725,415.673851974032,241.85245610066,190.670439702696,167.773872483018,210.288999488263,231.867574102573,185.623719311253
ENSMUSG00000026047,448.300160356919,387.576543917995,466.14853399945,649.343359026561,650.154941937062,614.48467406357,385.691344683543,429.099328007252,413.257017203474
ENSMUSG00000091476,9.89625078050594,7.04684625305446,5.93819788534332,13.2104282744058,12.5029796526358,9.26358805120959,14.5361059554099,16.3558039823392,13.6775372124081
ENSMUSG00000041684,406.735907078794,457.038314126675,381.034364309529,375.989112425395,406.346838710664,408.627161814468,460.310021921313,493.560437820001,477.736835490541
ENSMUSG00000026048,661.069552137797,621.129162590658,576.994894525859,771.28577386723,774.142823492367,715.35485506563,421.547072706887,444.493025872983,403.487347766039
ENSMUSG00000089703,20.7821266390625,25.1673080466231,19.7939929511444,24.3884829681338,28.1317042184306,38.0836397660839,16.4742534161312,15.393697865731,24.4241735935859
ENSMUSG00000101567,63.336004995238,59.3948469900305,61.3613781485476,123.974788421347,132.323201323729,112.192344175761,56.2062763609183,37.5221385477194,59.5949835683497
ENSMUSG00000026245,769.928310723362,751.999164433098,766.027527209288,1504.97263649192,1529.53117750578,1515.11129015339,1127.03274840945,1025.60512030433,1112.76534892377
ENSMUSG00000104018,9.89625078050594,14.0936925061089,12.8660954182439,21.339922597117,15.6287245657948,15.4393134186827,9.6907373036066,14.4315917491228,14.6545041561516
ENSMUSG00000026482,1086.60833569955,1079.1741690392,1057.98892323867,1033.46196577467,1103.38795434511,1017.96539807181,1174.51736119712,1174.7315683786,1110.81141503629
ENSMUSG00000080950,6.92737554635416,9.06023089678431,5.93819788534332,10.1618679033891,18.7544694789537,15.4393134186827,6.78351611252462,10.5831672826901,4.88483471871718
ENSMUSG00000008475,2091.0777899209,2142.24126092856,2166.45252850275,1967.33762609612,1960.88397552172,1989.61285588757,1562.14685334138,1678.87517348129,1687.22191184492
ENSMUSG00000056870,953.008950162722,929.177013081324,859.059294079666,636.132930752156,658.490261705486,781.229258985342,505.856487248264,622.482657445498,528.539116565199
ENSMUSG00000026495,61.3567548391368,70.4684625305446,70.2686749765626,40.6474716135563,40.6346838710664,41.1715024498204,40.7010966751477,51.9537302968422,40.0556446934809
