GeneID,GeneSymbol,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000244,Tspan32,-1.5375720045149,0.507350478283831,NA,0.000363184721923065,0.00080929117346937
ENSMUSG00000000247,Lhx2,-0.427897198105575,0.427140790237883,NA,0.202249544524571,0.270243651165628
ENSMUSG00000000248,Clec2g,0.227328347778115,0.327697286911793,NA,0.425008071291123,0.507536437967561
ENSMUSG00000000253,Gmpr,-0.674527750700318,0.164843621611866,NA,2.35267660321376e-05,6.08194004702832e-05
ENSMUSG00000000266,Mid2,-0.72667938271951,0.106936456617684,NA,5.42810348871989e-12,2.3250948093951e-11
ENSMUSG00000000275,Trim25,-0.333886919151986,0.0679213632489395,NA,7.54259177310145e-07,2.23426897043286e-06
ENSMUSG00000000276,Dgke,0.444958072732945,0.108148131655404,NA,2.96559473710925e-05,7.57723058976996e-05
ENSMUSG00000000278,Scpep1,-1.39046069755335,0.0428039767052945,NA,3.2669321127649e-232,5.42032693943419e-230
ENSMUSG00000000282,Mnt,-0.961483359860371,0.0764339625266035,NA,9.16261371144241e-37,1.04154608923947e-35
ENSMUSG00000000290,Itgb2,-3.88761947412096,0.235070444245387,NA,4.53962974077588e-62,9.40239912843834e-61
ENSMUSG00000000295,Hddc2,0.326344167764917,0.120349372751891,NA,0.00577342503566537,0.0107526076971862
ENSMUSG00000000296,Tpd52l1,-1.63846209796775,0.521685688236373,NA,0.000250707563899295,0.00057064144287411
ENSMUSG00000000301,Pemt,0.702390266019476,0.20981558845452,NA,0.000414946404426967,0.000918334627989638
ENSMUSG00000000326,Comt,-0.359999648997171,0.0544589784576528,NA,3.22506132154176e-11,1.32154641016199e-10
ENSMUSG00000000339,Rtca,0.014893364169349,0.0812773982090856,NA,0.853297097600786,0.887497268034803
ENSMUSG00000000340,Dbt,0.660112459963063,0.122134873144877,NA,3.67224121798921e-08,1.21416735288869e-07
ENSMUSG00000000346,Dazap2,-0.690778924603461,0.0528962931870209,NA,3.63783748735871e-39,4.43594319412404e-38
ENSMUSG00000000355,Mcts1,0.210071655178026,0.0879509203210369,NA,0.0160816177780388,0.0277997019359668
ENSMUSG00000000374,Trappc10,0.332056382674912,0.0602437984803496,NA,3.41862541242054e-08,1.13295541717192e-07
ENSMUSG00000000378,Ccm2,0.326279116982599,0.080448965893929,NA,4.35388001928798e-05,0.000109239241925379
ENSMUSG00000000384,Tbrg4,0.610449045727258,0.0704747895636688,NA,2.96537667735164e-18,1.78219709672355e-17
ENSMUSG00000000386,Mx1,-3.49579532816603,0.252172459743324,NA,7.48060008986051e-45,1.05390640471061e-43
ENSMUSG00000000392,Fap,-0.487061237884457,0.403316965603922,NA,0.136422263817256,0.191731245065687
ENSMUSG00000000399,Ndufa9,-0.0252169684171901,0.0687043627057566,NA,0.712224245469041,0.769721386760111
ENSMUSG00000000420,Galnt1,0.65400341716429,0.0604743463164619,NA,1.5473402591463e-27,1.33623027030153e-26
ENSMUSG00000000439,Mkrn2,0.179760504312236,0.0888975609504677,NA,0.041414444904993,0.0660361601818087
ENSMUSG00000000440,Pparg,0.865103673435344,0.0634941549776349,NA,1.17873030644914e-42,1.57258151063993e-41
ENSMUSG00000000441,Raf1,0.0701357428094267,0.0663810808231903,NA,0.288435513264167,0.366561299288458
ENSMUSG00000000486,Septin1,-1.20112088496677,0.307794789282446,NA,2.20473141210843e-05,5.71654049929228e-05
ENSMUSG00000000489,Pdgfb,-4.3110937669405,0.502631843652209,NA,3.65353413288023e-18,2.18651259924789e-17
ENSMUSG00000000530,Acvrl1,-0.400884813765083,0.1349043388651,NA,0.0023459217720899,0.00465779706651993
ENSMUSG00000000531,Tamalin,1.59562107685549,0.109908531213546,NA,1.56686234054693e-48,2.38175293013352e-47
ENSMUSG00000000532,Acvr1b,1.5936131292224,0.0715126962940572,NA,8.51279859535305e-111,4.16193125056822e-109
ENSMUSG00000000538,Tom1l2,0.601880954368282,0.053048122380317,NA,5.40329645740203e-30,5.09183151357354e-29
ENSMUSG00000000552,Zfp385a,1.2415053717601,0.0751889108515963,NA,6.64156350725978e-62,1.37012995316433e-60
ENSMUSG00000000555,Itga5,1.27177837956916,0.0455110994178197,NA,1.69490976829778e-172,1.64185172337716e-170
ENSMUSG00000000561,Wdr77,0.685163293667652,0.0872728372474996,NA,2.26054406685274e-15,1.1763578667546e-14
ENSMUSG00000000563,Atp5pb,0.298833001369007,0.0589955872634061,NA,3.66716454709441e-07,1.1159628931997e-06
ENSMUSG00000000567,Sox9,-0.725546680272789,0.0995550381424427,NA,1.63818119739601e-13,7.67469929546057e-13
ENSMUSG00000000568,Hnrnpd,0.450228465971662,0.0639265099243788,NA,1.46231365227255e-12,6.47169231578963e-12
ENSMUSG00000000579,Dynlt1c,0.571559982570842,0.717298765193748,NA,0.132366317524656,0.186703905952296
ENSMUSG00000000581,C1d,-0.288642002102383,0.0889255509112144,NA,0.00102022884756351,0.00213347936532588
ENSMUSG00000000594,Gm2a,-0.690126221319923,0.0803118614453672,NA,4.62912119639447e-18,2.75556389996061e-17
ENSMUSG00000000600,Krit1,0.111382740524999,0.0756581892290637,NA,0.138542038082986,0.194353897151666
ENSMUSG00000000605,Clcn4,-0.24181482212728,0.0754560516153263,NA,0.00124602555348736,0.00257322755987671
ENSMUSG00000000628,Hk2,1.84812241338731,0.0681407248726649,NA,7.41781197391243e-163,6.49933682837855e-161
ENSMUSG00000000631,Myo18a,-0.489140508144703,0.0667759474507602,NA,1.71879579250366e-13,8.04995170567181e-13
ENSMUSG00000000686,Abhd15,3.86598082705982,0.243990110908751,NA,4.8285660452071e-57,8.91199006402958e-56
ENSMUSG00000000690,Hoxb6,-0.206107655718154,0.394713599553542,NA,0.51568780887262,0.595444367156095
ENSMUSG00000000693,Loxl3,-1.5454714022295,0.0713375744160272,NA,7.57298878360096e-105,3.43338177526281e-103
ENSMUSG00000000708,Kat2b,-0.394720720262578,0.0756941437521531,NA,1.48579119308204e-07,4.66714993903474e-07
ENSMUSG00000000711,Rab5b,-0.243117964625595,0.0696725122017767,NA,0.000447477931784273,0.000985854756901755
ENSMUSG00000000730,Dnmt3l,-0.204782534915092,0.454169127628535,NA,0.536842693565224,0.615700975196259
ENSMUSG00000000738,Spg7,0.340706422072638,0.0725360089486872,NA,2.41591860246296e-06,6.85315869843804e-06
ENSMUSG00000000739,Sult5a1,-1.66084871821753,0.466086169629998,NA,5.21809507621343e-05,0.00012952635812291
ENSMUSG00000000740,Rpl13,0.15849944324804,0.0510665571517303,NA,0.00185134402408424,0.00373719407191533
ENSMUSG00000000743,Chmp1a,-0.163141647027843,0.0625442052331677,NA,0.00875223316542185,0.0158168978502803
ENSMUSG00000000751,Rpa1,0.828084698750315,0.059930358242617,NA,9.09619312721603e-44,1.25211145641713e-42
ENSMUSG00000000753,Serpinf1,-1.7017134194559,0.0447501789164756,NA,4.55830399575238e-317,1.51258104491143e-314
ENSMUSG00000000759,Tubgcp3,-0.0285532237331383,0.0679679398741336,NA,0.672380964988843,0.735788207266769
ENSMUSG00000000776,Polr3d,0.380092047905049,0.0983889520176858,NA,9.51370323636285e-05,0.00022939968409758
ENSMUSG00000000787,Ddx3x,0.63681115913687,0.0442133160870486,NA,3.18091605819296e-47,4.73373729423448e-46
ENSMUSG00000000791,Il12rb1,-2.30272512515847,0.507562829022908,NA,7.16077987324469e-07,2.1264189433192e-06
ENSMUSG00000000792,Slc5a5,1.61610836235685,0.310489605212165,NA,3.10649326364751e-08,1.03368613057065e-07
ENSMUSG00000000804,Usp32,0.174299519428244,0.0602063999941952,NA,0.00364641766855511,0.00702700234261528
ENSMUSG00000000811,Txnrd3,0.221175345834813,0.115537449814648,NA,0.0522185362853059,0.0814156045092103
ENSMUSG00000000823,Zfp512b,-0.195138941749168,0.0686582707120976,NA,0.0041652395793167,0.00793660066939808
