Geneid,3T3L1-D0-rep1_aligned.bam,3T3L1-D0-rep2_aligned.bam,3T3L1-D0-rep3_aligned.bam,3T3L1-D2-rep1_aligned.bam,3T3L1-D2-rep2_aligned.bam,3T3L1-D2-rep3_aligned.bam,3T3L1-D6-rep1_aligned.bam,3T3L1-D6-rep2_aligned.bam,3T3L1-D6-rep3_aligned.bam
ENSMUSG00000125909,1,1,1,1,2,0,2,0,0
ENSMUSG00000125921,0,0,1,0,0,3,1,0,0
ENSMUSG00000105845,0,1,0,3,5,1,0,0,1
ENSMUSG00000125952,0,0,0,0,0,0,0,0,0
ENSMUSG00000125968,0,0,0,0,0,0,0,0,0
ENSMUSG00000120373,0,0,0,0,2,0,1,1,0
ENSMUSG00000087431,0,0,0,0,0,0,0,0,0
ENSMUSG00000125990,0,0,0,1,0,1,0,0,1
ENSMUSG00000126006,0,0,0,0,0,0,0,0,0
ENSMUSG00000126009,0,0,0,0,0,0,0,0,0
ENSMUSG00000126026,0,0,0,1,0,0,4,3,3
ENSMUSG00000126057,36,24,30,25,34,33,31,35,17
ENSMUSG00000126063,0,0,0,0,0,0,0,0,0
ENSMUSG00000126066,0,0,0,0,0,0,0,0,1
ENSMUSG00000126135,0,0,0,0,0,0,0,0,0
ENSMUSG00000105773,0,0,0,0,0,0,0,0,0
ENSMUSG00000126175,0,0,0,0,0,0,0,0,0
ENSMUSG00000126191,0,0,0,1,0,0,0,0,0
ENSMUSG00000126211,0,0,0,0,0,0,0,0,0
ENSMUSG00000126214,1,0,0,0,0,0,0,0,0
ENSMUSG00000126217,1,2,3,3,2,1,0,0,0
ENSMUSG00000126228,0,0,0,0,0,0,0,0,0
ENSMUSG00000126231,0,0,0,0,0,0,0,0,0
ENSMUSG00000106483,0,0,0,0,0,0,0,0,0
ENSMUSG00000126234,0,0,0,0,0,0,0,0,0
ENSMUSG00000126258,0,0,0,0,0,0,0,0,0
ENSMUSG00000126265,0,0,0,0,0,0,0,0,0
ENSMUSG00000126268,0,0,0,0,0,0,0,0,0
ENSMUSG00000126276,0,0,0,0,0,0,0,0,0
ENSMUSG00000120761,0,0,0,0,0,0,0,0,0
ENSMUSG00000126303,0,0,0,0,0,0,0,0,0
ENSMUSG00000126305,0,0,0,0,0,0,0,0,0
ENSMUSG00000126307,0,0,0,0,0,0,0,0,0
ENSMUSG00000126312,0,0,2,0,0,0,1,0,0
ENSMUSG00000126337,0,0,0,0,0,0,0,0,0
ENSMUSG00000085657,0,0,0,0,0,0,0,0,1
ENSMUSG00000126344,0,0,0,1,0,0,0,0,0
ENSMUSG00000126365,0,0,0,0,0,0,0,0,0
ENSMUSG00000126378,0,0,1,0,0,0,0,0,0
ENSMUSG00000121106,1,0,0,0,1,0,0,0,0
ENSMUSG00000126419,0,0,0,0,0,0,0,0,0
ENSMUSG00000126421,1,2,0,1,1,0,0,1,0
ENSMUSG00000126458,1,1,2,2,0,1,3,1,1
ENSMUSG00000104845,1,2,1,0,0,0,2,1,0
ENSMUSG00000126489,0,0,0,0,1,0,0,0,0
ENSMUSG00000126495,0,0,0,1,0,0,0,0,1
ENSMUSG00000126499,10,15,11,15,10,10,13,17,15
ENSMUSG00000086916,5,5,4,3,2,2,4,3,2
ENSMUSG00000107081,1,0,0,0,0,0,0,0,0
ENSMUSG00000126536,0,0,0,0,0,0,0,0,0
ENSMUSG00000126539,0,0,0,0,1,0,0,0,0
ENSMUSG00000105482,1,1,0,0,0,0,0,0,0
ENSMUSG00000126573,0,0,0,0,0,0,0,0,0
ENSMUSG00000126651,0,0,0,0,0,0,0,0,0
ENSMUSG00000126656,0,0,0,0,0,0,0,0,0
ENSMUSG00000126658,1,0,0,0,1,0,0,1,0
ENSMUSG00000107385,0,0,0,0,0,0,0,1,0
ENSMUSG00000126696,0,1,0,2,0,2,1,2,0
ENSMUSG00000126697,0,0,0,0,0,0,0,0,0
ENSMUSG00000126729,0,0,0,0,0,0,0,0,0
ENSMUSG00000126742,0,0,0,0,0,0,0,0,0
ENSMUSG00000105320,0,0,0,0,0,0,0,0,0
ENSMUSG00000126787,0,0,0,1,0,0,0,0,0
ENSMUSG00000121177,4,5,5,4,1,3,7,2,5
ENSMUSG00000126795,0,1,0,1,0,1,0,0,0
ENSMUSG00000126799,0,0,0,0,0,0,0,2,1
ENSMUSG00000126817,2,1,1,3,1,0,0,0,0
ENSMUSG00000126830,0,0,0,0,0,0,0,0,0
ENSMUSG00000126840,0,0,0,0,1,0,0,0,0
ENSMUSG00000104847,5,4,1,0,0,1,0,1,1
ENSMUSG00000126863,0,0,0,0,0,0,0,0,0
ENSMUSG00000104982,0,0,0,0,0,0,0,0,0
ENSMUSG00000126864,0,0,0,0,0,0,0,0,0
ENSMUSG00000120170,0,0,0,0,0,0,0,0,0
ENSMUSG00000126882,15,8,8,4,3,5,5,9,3
ENSMUSG00000105423,0,0,0,0,0,0,0,0,0
ENSMUSG00000126916,0,0,0,0,0,0,0,0,0
ENSMUSG00000126918,0,0,0,0,1,0,0,0,0
ENSMUSG00000126925,1,2,0,0,1,3,1,1,1
ENSMUSG00000126932,0,0,0,0,0,0,0,0,0
ENSMUSG00000126937,0,0,0,0,0,0,0,0,0
ENSMUSG00000126970,0,0,0,0,0,0,0,0,0
ENSMUSG00000126980,2,1,4,5,4,9,2,4,4
ENSMUSG00000127000,0,0,0,0,0,0,0,0,0
ENSMUSG00000086847,0,0,0,0,0,0,0,0,1
ENSMUSG00000127017,0,0,0,0,0,0,0,0,0
ENSMUSG00000127039,0,0,0,0,0,0,0,0,0
ENSMUSG00000127046,0,0,0,0,0,0,0,0,0
ENSMUSG00000127058,0,0,0,0,0,0,0,0,0
ENSMUSG00000127072,4,2,2,5,4,5,8,2,6
ENSMUSG00000127094,13,11,10,9,19,14,15,17,17
ENSMUSG00000127127,0,0,0,0,0,0,0,0,0
ENSMUSG00000127137,0,1,0,1,1,0,5,2,4
ENSMUSG00000127177,0,0,0,0,0,0,0,0,0
ENSMUSG00000127191,0,0,0,0,0,0,0,0,0
ENSMUSG00000073152,0,0,0,0,0,0,0,0,0
ENSMUSG00000127242,1,1,1,3,0,2,0,2,2
ENSMUSG00000127253,0,0,0,0,0,0,0,0,0
ENSMUSG00000107318,0,0,0,0,0,0,0,0,0
ENSMUSG00000072573,5,10,10,7,14,12,4,3,3
ENSMUSG00000127317,0,0,0,0,0,0,0,0,0
ENSMUSG00000127320,9,7,7,4,6,2,11,12,12
ENSMUSG00000127344,3,7,4,1,3,3,3,5,6
ENSMUSG00000127388,0,0,0,0,0,0,0,0,0
ENSMUSG00000127400,0,0,0,0,0,0,0,0,0
ENSMUSG00000127419,0,0,0,0,0,0,0,0,0
ENSMUSG00000120573,23,20,20,10,21,18,25,17,13
ENSMUSG00000106674,5,4,2,8,4,2,10,11,17
ENSMUSG00000127459,0,0,0,0,0,0,0,0,0
ENSMUSG00000127492,0,0,0,0,0,0,0,0,0
ENSMUSG00000127495,0,0,0,0,0,1,3,2,0
ENSMUSG00000106526,0,0,0,0,0,0,0,0,0
ENSMUSG00000127532,0,0,0,0,0,0,0,0,0
ENSMUSG00000127539,0,0,0,0,0,0,0,0,0
ENSMUSG00000098230,0,0,0,0,0,0,0,0,0
ENSMUSG00000104681,0,0,0,0,0,0,0,0,1
ENSMUSG00000107096,50,79,80,83,76,72,97,114,118
ENSMUSG00000127563,0,0,0,0,0,0,0,0,0
ENSMUSG00000106738,0,0,0,0,0,0,0,0,0
ENSMUSG00000120915,2,1,0,6,3,2,4,0,1
ENSMUSG00000127592,0,0,0,0,0,0,0,0,0
ENSMUSG00000127595,0,0,0,0,0,0,0,0,0
ENSMUSG00000127609,4,2,4,0,5,4,3,9,5
ENSMUSG00000127610,0,0,0,0,0,0,0,0,1
ENSMUSG00000106845,0,3,1,0,0,0,0,1,1
ENSMUSG00000127648,0,0,0,0,0,0,0,0,0
ENSMUSG00000127655,0,0,0,0,0,0,0,0,0
ENSMUSG00000127696,0,0,0,0,0,0,0,0,0
ENSMUSG00000127703,0,0,0,0,0,0,0,0,0
ENSMUSG00000086075,14,29,20,8,5,9,12,9,13
ENSMUSG00000127781,0,0,0,1,0,0,0,1,0
ENSMUSG00000120465,15,10,17,8,4,10,5,10,7
ENSMUSG00000127810,0,0,0,0,0,0,0,0,0
ENSMUSG00000127837,0,0,0,0,0,0,0,1,0
ENSMUSG00000127848,0,1,0,2,2,1,2,1,0
ENSMUSG00000105593,0,0,0,0,0,0,0,0,0
ENSMUSG00000106034,0,0,0,0,0,0,0,0,0
ENSMUSG00000127988,0,0,0,0,0,0,0,0,0
ENSMUSG00000128001,6,5,1,2,2,4,6,2,7
ENSMUSG00000128029,0,0,0,0,0,0,0,0,0
ENSMUSG00000128036,2,1,2,0,1,0,0,1,1
ENSMUSG00000106644,0,0,0,0,0,0,0,0,0
ENSMUSG00000085497,1,1,0,0,0,0,0,0,0
ENSMUSG00000128052,0,0,0,0,0,1,0,0,0
ENSMUSG00000106263,0,0,0,0,0,0,0,0,0
ENSMUSG00000128081,0,0,0,0,0,0,0,0,0
ENSMUSG00000128092,1,1,1,1,0,2,1,2,4
ENSMUSG00000128101,0,0,0,1,0,0,0,0,0
ENSMUSG00000128104,0,0,0,0,0,0,0,0,0
ENSMUSG00000128116,0,0,0,0,0,0,0,0,0
ENSMUSG00000055424,6,5,4,4,6,0,6,7,3
ENSMUSG00000128126,0,0,0,0,0,0,0,0,0
ENSMUSG00000079528,0,0,0,0,0,0,0,0,0
ENSMUSG00000052014,0,0,0,0,0,0,0,0,0
ENSMUSG00000128151,0,0,0,0,0,0,0,0,0
ENSMUSG00000086401,19,27,23,27,29,26,21,28,19
ENSMUSG00000128166,7,9,6,7,5,3,1,4,3
ENSMUSG00000106060,3,3,1,0,0,0,0,2,1
ENSMUSG00000128201,3,1,2,0,0,0,3,4,3
ENSMUSG00000128227,0,0,0,0,0,0,0,0,0
ENSMUSG00000128237,0,0,0,0,0,0,0,0,0
ENSMUSG00000097191,2,1,1,1,3,0,0,2,1
ENSMUSG00000128263,0,0,0,0,0,0,0,0,0
ENSMUSG00000128265,0,0,0,0,0,0,0,0,0
ENSMUSG00000128275,0,0,0,0,0,0,0,0,0
ENSMUSG00000128278,0,0,0,0,0,0,0,0,0
ENSMUSG00000128298,0,0,0,0,0,0,0,0,1
ENSMUSG00000128299,0,0,0,0,0,0,0,0,0
ENSMUSG00000128300,0,0,0,0,1,1,0,0,1
ENSMUSG00000128313,0,0,0,0,0,0,0,0,0
ENSMUSG00000128317,0,0,0,0,0,0,0,0,1
ENSMUSG00000128321,0,0,0,0,0,0,0,0,0
ENSMUSG00000128322,0,0,0,0,0,0,0,0,0
ENSMUSG00000128335,0,0,0,0,0,0,0,0,0
ENSMUSG00000128353,2,0,0,0,0,0,0,0,0
ENSMUSG00000128355,0,0,0,0,0,0,0,0,0
ENSMUSG00000128373,1,0,0,0,0,0,0,0,0
ENSMUSG00000128392,0,0,0,0,0,0,0,0,0
ENSMUSG00000090086,103,105,99,41,43,49,89,100,94
ENSMUSG00000120797,0,0,1,0,0,0,0,1,0
ENSMUSG00000128412,0,1,0,1,0,0,0,1,1
ENSMUSG00000128427,0,0,0,0,0,0,0,0,0
ENSMUSG00000128440,0,1,0,1,0,0,0,0,1
ENSMUSG00000128448,0,0,0,0,0,0,0,0,0
ENSMUSG00000128449,0,0,0,0,0,0,0,0,0
ENSMUSG00000128455,0,1,0,0,0,0,0,1,0
ENSMUSG00000128457,0,0,0,0,0,0,0,0,0
ENSMUSG00000128479,0,0,0,0,0,0,0,0,0
ENSMUSG00000128480,0,0,0,0,0,2,0,0,0
ENSMUSG00000128486,0,0,0,0,0,0,0,0,0
ENSMUSG00000128488,0,0,1,1,1,2,1,0,2
ENSMUSG00000128511,0,0,0,0,0,0,0,0,0
ENSMUSG00000106909,0,0,0,0,0,0,0,0,0
ENSMUSG00000128532,4,2,3,7,5,4,1,8,5
ENSMUSG00000128540,0,0,0,0,0,0,0,1,0
ENSMUSG00000128541,0,0,1,0,0,0,0,0,0
ENSMUSG00000128565,0,0,0,0,0,0,0,0,0
ENSMUSG00000128572,1,0,0,0,0,0,0,0,0
ENSMUSG00000128577,0,0,0,0,0,0,0,0,0
ENSMUSG00000105068,0,3,0,0,0,0,5,4,3
ENSMUSG00000107237,0,0,0,0,0,0,0,0,0
ENSMUSG00000128640,0,0,0,0,0,0,0,0,0
ENSMUSG00000085227,8,6,4,14,12,10,12,18,15
ENSMUSG00000128671,0,0,0,0,0,0,1,0,0
ENSMUSG00000128674,0,0,0,0,0,0,0,0,0
ENSMUSG00000128716,0,0,0,0,0,0,0,0,0
ENSMUSG00000128718,0,0,0,0,0,0,0,0,0
ENSMUSG00000128755,0,0,0,0,0,0,0,1,0
ENSMUSG00000121120,2,1,1,10,1,3,0,5,1
ENSMUSG00000128790,0,1,0,0,0,0,1,0,0
ENSMUSG00000105664,7,3,6,0,1,1,3,4,1
ENSMUSG00000106943,46,51,59,95,83,90,50,41,47
ENSMUSG00000128844,0,0,0,0,0,0,0,0,0
ENSMUSG00000128868,0,0,0,0,0,0,0,1,0
ENSMUSG00000128907,0,0,0,0,0,0,0,0,0
ENSMUSG00000128908,1,1,2,1,1,0,0,0,0
ENSMUSG00000120827,0,0,0,0,0,0,0,0,0
ENSMUSG00000106148,0,0,0,0,0,0,0,0,0
ENSMUSG00000128962,0,0,0,0,0,0,0,0,0
ENSMUSG00000128974,0,0,0,0,0,0,0,0,0
ENSMUSG00000128985,0,0,0,0,0,0,0,0,0
ENSMUSG00000129002,0,0,0,0,0,0,0,0,0
ENSMUSG00000129031,0,0,0,0,0,0,0,0,0
ENSMUSG00000129086,0,1,0,1,0,0,1,0,0
ENSMUSG00000129089,0,0,0,1,0,0,0,0,0
ENSMUSG00000129097,0,0,0,1,0,0,0,1,0
ENSMUSG00000085639,18,26,16,17,11,10,22,20,23
ENSMUSG00000129113,0,0,0,0,0,0,0,0,0
ENSMUSG00000097228,0,0,0,0,0,0,0,0,0
ENSMUSG00000079069,12,11,14,3,4,6,6,8,9
ENSMUSG00000129179,1,1,0,0,0,0,0,1,0
ENSMUSG00000129200,0,0,0,0,0,0,0,0,0
ENSMUSG00000129218,0,0,0,0,0,0,0,0,0
ENSMUSG00000129223,0,0,0,0,0,0,0,0,0
ENSMUSG00000129242,0,0,0,0,0,0,0,0,0
ENSMUSG00000129251,0,0,0,0,0,0,0,0,0
ENSMUSG00000129278,0,0,0,0,0,0,0,0,0
ENSMUSG00000104937,0,0,0,0,0,0,0,0,0
ENSMUSG00000129304,0,0,0,0,0,0,0,1,0
ENSMUSG00000129322,0,0,0,0,0,0,0,0,0
ENSMUSG00000129340,0,0,0,0,0,0,0,0,0
ENSMUSG00000089926,0,0,0,0,0,0,0,0,0
ENSMUSG00000129427,0,0,0,1,1,1,0,1,1
ENSMUSG00000129460,0,0,0,0,0,0,0,0,0
ENSMUSG00000129499,0,0,1,1,0,0,2,1,1
ENSMUSG00000129501,0,0,0,0,0,0,0,1,0
ENSMUSG00000129505,0,0,0,0,0,0,0,0,0
ENSMUSG00000129512,0,0,0,0,0,0,0,0,0
ENSMUSG00000106978,55,64,64,39,55,49,53,60,51
ENSMUSG00000129544,0,0,0,0,0,0,0,0,0
ENSMUSG00000129567,0,0,0,0,0,0,0,0,0
ENSMUSG00000129574,0,0,0,0,0,0,0,0,0
ENSMUSG00000106127,1,0,2,2,1,3,1,1,3
ENSMUSG00000129581,0,0,0,0,0,0,0,0,0
ENSMUSG00000129582,0,0,0,0,0,0,0,0,0
ENSMUSG00000129583,0,0,0,0,0,0,0,0,0
ENSMUSG00000129598,0,0,0,0,0,0,1,0,0
ENSMUSG00000129603,0,0,0,0,0,0,0,0,0
ENSMUSG00000129606,0,0,0,0,0,0,0,0,0
ENSMUSG00000085433,19,33,26,21,27,30,52,59,30
ENSMUSG00000085269,52,65,52,48,88,57,68,77,92
ENSMUSG00000129635,0,0,0,0,0,0,0,0,0
ENSMUSG00000129648,0,0,0,0,0,0,0,0,0
ENSMUSG00000075591,0,0,1,1,0,1,0,0,1
ENSMUSG00000129668,0,0,0,0,0,0,0,0,0
ENSMUSG00000129685,0,0,0,0,0,0,0,0,0
ENSMUSG00000129692,0,0,0,0,0,0,0,0,0
ENSMUSG00000129701,0,0,0,1,0,0,0,0,0
ENSMUSG00000129713,0,0,0,0,0,0,0,0,0
ENSMUSG00000129715,0,0,0,0,0,1,0,0,1
ENSMUSG00000129727,0,0,0,0,0,0,0,0,0
ENSMUSG00000129732,0,0,0,0,0,0,0,0,0
ENSMUSG00000129756,0,0,0,0,0,0,0,0,0
ENSMUSG00000129758,4,4,3,4,10,3,5,6,6
ENSMUSG00000129777,0,0,0,0,0,0,0,0,0
ENSMUSG00000106652,0,0,0,0,0,0,0,0,0
ENSMUSG00000129782,0,0,0,0,0,0,0,0,0
ENSMUSG00000129792,0,0,0,0,0,0,0,0,0
ENSMUSG00000091422,0,0,0,0,0,0,0,0,0
ENSMUSG00000107027,0,0,0,0,0,0,0,0,0
ENSMUSG00000129813,0,0,0,0,0,0,0,0,0
ENSMUSG00000129819,1,0,3,0,1,1,9,6,4
ENSMUSG00000098649,0,0,1,0,0,0,0,0,0
ENSMUSG00000129854,0,0,0,0,0,0,0,0,0
ENSMUSG00000129859,0,0,0,0,0,0,0,0,0
ENSMUSG00000129868,0,0,1,0,0,0,0,0,0
ENSMUSG00000129890,0,1,0,0,0,0,0,0,0
ENSMUSG00000129913,0,0,0,0,0,0,0,0,0
ENSMUSG00000129930,0,0,0,0,0,0,0,1,0
ENSMUSG00000129937,3,1,0,0,0,0,2,1,1
ENSMUSG00000120155,0,0,0,0,0,0,0,0,0
ENSMUSG00000130044,0,0,0,0,0,0,0,0,0
ENSMUSG00000130050,0,0,0,0,0,0,0,0,0
ENSMUSG00000130057,0,0,0,0,0,0,0,0,0
ENSMUSG00000130072,0,0,0,0,0,0,0,0,0
ENSMUSG00000130078,0,0,0,0,0,0,0,0,0
ENSMUSG00000130090,0,0,0,0,0,0,0,0,0
ENSMUSG00000106740,0,0,0,0,0,0,0,0,0
ENSMUSG00000105157,0,0,0,0,0,0,0,1,1
ENSMUSG00000130139,0,0,0,0,1,1,0,0,0
ENSMUSG00000130148,0,0,0,0,0,0,0,0,0
ENSMUSG00000130164,0,0,0,0,0,0,0,0,0
ENSMUSG00000130166,0,0,0,0,0,0,0,0,0
ENSMUSG00000130185,0,1,0,0,0,0,1,0,0
ENSMUSG00000130196,0,0,0,0,0,0,0,0,0
ENSMUSG00000052848,2,0,2,0,0,0,0,1,1
ENSMUSG00000130229,0,0,0,0,0,1,0,0,0
ENSMUSG00000130243,2,4,3,0,1,1,4,0,2
ENSMUSG00000130270,0,0,0,0,0,0,0,0,0
ENSMUSG00000130279,0,0,0,0,1,0,0,0,0
ENSMUSG00000130280,0,0,0,0,0,0,0,0,0
ENSMUSG00000130284,0,0,0,1,2,0,0,0,0
ENSMUSG00000130295,0,1,1,1,0,0,0,1,0
ENSMUSG00000130319,0,0,0,0,0,0,1,0,0
ENSMUSG00000130345,0,0,0,0,0,0,0,0,0
ENSMUSG00000130376,0,0,0,0,0,0,0,0,0
ENSMUSG00000130379,4,11,4,2,0,1,4,7,7
ENSMUSG00000130385,0,0,0,0,0,0,0,0,0
ENSMUSG00000130398,0,0,1,0,1,0,0,1,1
ENSMUSG00000130421,0,0,0,0,0,0,0,0,0
ENSMUSG00000130458,0,0,0,0,0,0,0,0,0
ENSMUSG00000119946,5,4,4,4,3,3,5,4,5
ENSMUSG00000120570,3,2,3,2,3,1,5,0,0
ENSMUSG00000075585,402,384,357,309,305,253,226,251,233
ENSMUSG00000130488,6,9,3,3,2,0,6,3,6
ENSMUSG00000106219,0,0,0,0,0,0,0,0,0
ENSMUSG00000120771,2,3,1,1,0,1,1,3,0
ENSMUSG00000130552,0,0,0,0,0,0,2,0,0
ENSMUSG00000130557,0,1,0,0,0,0,0,0,0
ENSMUSG00000130570,0,0,0,0,0,0,0,0,0
ENSMUSG00000130603,0,0,0,0,3,0,0,0,1
ENSMUSG00000107143,12,17,12,10,4,9,12,16,16
ENSMUSG00000130607,0,0,0,0,0,0,0,0,0
ENSMUSG00000130608,0,0,0,0,0,0,0,0,0
ENSMUSG00000130609,0,0,0,0,0,0,0,0,0
ENSMUSG00000130619,0,0,0,0,0,1,1,0,1
ENSMUSG00000130656,0,0,0,0,0,0,0,0,0
ENSMUSG00000130692,0,1,0,0,0,0,0,0,1
ENSMUSG00000130725,2,0,2,2,5,2,7,17,12
ENSMUSG00000130727,6,7,4,4,7,6,16,14,24
ENSMUSG00000130738,0,0,0,2,1,0,0,2,0
ENSMUSG00000130751,0,0,0,0,0,0,0,0,0
ENSMUSG00000130758,0,0,1,0,0,1,0,1,0
ENSMUSG00000130766,0,0,0,0,0,1,0,0,0
ENSMUSG00000086700,0,1,1,1,0,1,0,0,1
ENSMUSG00000130776,3,1,2,0,4,2,3,2,3
ENSMUSG00000101856,45,49,52,32,39,28,78,52,69
ENSMUSG00000130821,0,1,0,0,1,0,0,0,0
ENSMUSG00000130832,0,0,0,0,0,0,0,0,0
ENSMUSG00000130837,3,3,4,3,3,4,5,2,2
ENSMUSG00000121722,0,0,0,0,0,0,0,0,0
ENSMUSG00000104789,0,0,0,0,0,0,0,0,0
ENSMUSG00000130880,0,0,0,0,0,0,0,0,0
ENSMUSG00000130979,0,0,0,0,0,0,0,0,0
ENSMUSG00000130987,0,0,0,0,0,0,0,0,0
ENSMUSG00000131045,0,0,0,0,0,0,0,0,0
ENSMUSG00000106741,0,0,0,0,0,0,0,0,0
ENSMUSG00000131083,0,0,0,0,0,0,0,0,0
ENSMUSG00000131090,0,0,0,0,0,0,0,0,0
ENSMUSG00000131095,6,14,3,11,11,9,16,19,14
ENSMUSG00000131097,0,0,1,0,0,0,0,0,0
ENSMUSG00000131107,0,0,0,0,0,0,0,0,0
ENSMUSG00000131115,0,0,0,0,0,0,0,0,0
ENSMUSG00000106555,3,2,4,0,1,1,1,1,1
ENSMUSG00000131136,0,0,0,0,0,0,0,0,0
ENSMUSG00000120460,8,8,8,2,6,7,11,15,10
ENSMUSG00000131138,0,0,0,0,0,0,0,0,0
ENSMUSG00000131154,1,3,0,2,3,1,2,2,1
ENSMUSG00000105271,0,0,0,0,0,0,0,0,0
ENSMUSG00000131184,3,1,1,0,1,1,0,1,0
ENSMUSG00000131191,0,0,0,0,0,0,0,0,0
ENSMUSG00000131207,0,0,0,0,0,0,0,0,0
ENSMUSG00000106136,0,0,0,0,0,0,0,0,0
ENSMUSG00000087484,189,168,195,41,50,53,124,156,103
ENSMUSG00000104932,2,0,0,0,0,1,1,0,0
ENSMUSG00000131242,1,1,0,1,0,0,0,3,0
ENSMUSG00000131253,0,0,0,0,2,0,0,0,1
ENSMUSG00000131264,0,1,0,0,0,0,1,0,0
ENSMUSG00000131271,0,0,0,0,0,0,0,0,0
ENSMUSG00000097029,0,0,0,0,0,0,0,1,0
ENSMUSG00000131282,0,0,0,0,0,0,0,0,0
ENSMUSG00000131295,0,0,0,0,0,0,0,0,0
ENSMUSG00000131305,0,0,0,0,0,0,0,0,1
ENSMUSG00000131347,0,0,0,0,0,0,1,1,0
ENSMUSG00000131385,0,0,1,1,1,0,0,1,1
ENSMUSG00000086753,73,58,65,86,68,76,66,76,62
ENSMUSG00000131467,0,0,0,1,4,1,7,5,5
ENSMUSG00000062496,2,5,0,0,0,1,0,1,0
ENSMUSG00000131482,0,0,0,0,0,0,1,0,0
ENSMUSG00000131483,0,0,0,0,0,0,0,0,0
ENSMUSG00000090030,0,0,0,0,0,0,0,1,1
ENSMUSG00000131486,1,0,0,0,0,0,0,0,0
ENSMUSG00000120435,1,3,1,0,2,1,3,5,5
ENSMUSG00000131515,0,0,0,0,0,0,0,0,0
ENSMUSG00000072612,8,4,12,4,8,4,20,14,21
ENSMUSG00000086655,7,12,10,2,0,3,7,6,9
ENSMUSG00000131550,0,0,0,0,0,0,0,0,0
ENSMUSG00000131568,0,0,0,0,0,0,0,0,0
ENSMUSG00000131570,0,0,0,0,0,0,0,0,0
ENSMUSG00000131591,0,0,0,0,0,0,0,0,0
ENSMUSG00000131598,0,0,0,0,0,0,0,0,0
ENSMUSG00000131602,0,1,1,0,0,1,0,0,3
ENSMUSG00000120357,7,5,6,5,1,7,7,5,9
ENSMUSG00000131613,2,2,4,2,3,1,2,2,1
ENSMUSG00000131617,0,2,1,0,0,0,2,1,0
ENSMUSG00000119979,27,11,11,14,9,11,11,17,19
ENSMUSG00000131642,0,0,0,0,0,0,0,0,0
ENSMUSG00000131643,0,0,0,0,0,0,0,0,0
ENSMUSG00000131648,0,0,0,0,0,0,0,0,0
ENSMUSG00000120419,1,0,3,0,2,1,2,2,2
ENSMUSG00000131682,2,2,1,1,0,0,1,0,0
ENSMUSG00000107031,0,0,0,0,0,0,0,0,0
ENSMUSG00000131708,3,0,2,3,2,2,2,4,2
ENSMUSG00000131727,0,0,0,0,0,0,0,0,0
ENSMUSG00000131744,0,0,0,0,0,0,0,0,0
ENSMUSG00000131745,4,6,3,9,4,5,2,3,8
ENSMUSG00000131751,0,0,0,0,0,0,0,0,0
ENSMUSG00000105376,1,3,1,2,0,0,0,0,0
ENSMUSG00000120547,0,0,0,0,0,0,0,0,0
ENSMUSG00000131805,3,6,2,1,0,1,0,0,3
ENSMUSG00000131824,0,0,0,0,0,0,0,0,0
ENSMUSG00000131829,0,0,0,0,0,0,0,0,1
ENSMUSG00000084992,0,0,0,1,0,1,0,0,1
ENSMUSG00000131869,0,0,0,0,0,0,0,0,0
ENSMUSG00000131889,0,1,0,1,1,0,0,0,1
ENSMUSG00000131896,6,6,1,12,4,13,9,8,9
ENSMUSG00000099061,15,25,17,36,21,25,19,12,21
ENSMUSG00000131920,0,0,1,0,0,0,0,0,0
ENSMUSG00000131938,2,0,2,0,0,2,1,1,2
ENSMUSG00000131939,0,1,0,0,0,0,0,0,2
ENSMUSG00000131984,0,0,0,0,0,0,0,0,0
ENSMUSG00000131998,0,0,1,0,1,1,1,0,0
ENSMUSG00000132013,2,0,0,0,2,0,0,0,0
ENSMUSG00000132023,0,0,0,0,0,0,0,0,0
ENSMUSG00000132036,0,0,0,0,0,0,0,0,0
ENSMUSG00000132052,0,0,0,0,0,0,0,0,0
ENSMUSG00000132062,0,0,0,0,0,0,0,0,0
ENSMUSG00000120374,79,95,56,11,20,18,111,97,114
ENSMUSG00000132072,0,0,0,0,0,0,0,0,0
ENSMUSG00000132086,0,0,0,1,0,1,0,0,1
ENSMUSG00000132107,0,0,0,0,0,0,0,0,0
ENSMUSG00000132114,0,0,0,0,0,0,0,0,0
ENSMUSG00000132122,0,0,0,0,0,0,0,0,0
ENSMUSG00000132124,1,1,0,0,0,0,4,0,1
ENSMUSG00000132128,0,0,0,0,0,0,0,0,0
ENSMUSG00000132130,0,0,0,0,0,0,0,0,0
ENSMUSG00000132148,0,0,0,0,0,0,0,0,0
ENSMUSG00000132160,1,1,0,0,0,0,0,0,0
ENSMUSG00000132165,0,0,0,0,0,0,0,0,0
ENSMUSG00000132185,0,0,0,0,0,0,1,1,0
ENSMUSG00000132189,0,0,0,0,0,0,0,0,0
ENSMUSG00000132214,0,0,0,0,0,0,0,0,0
ENSMUSG00000132413,0,0,0,0,0,0,0,0,0
ENSMUSG00000132415,2,1,3,1,0,0,1,1,1
ENSMUSG00000132416,0,0,0,0,0,0,0,0,0
ENSMUSG00000120013,81,83,71,68,51,81,111,107,97
ENSMUSG00000132446,0,0,0,0,0,0,0,0,0
ENSMUSG00000132450,0,0,0,0,0,0,0,0,0
ENSMUSG00000132452,0,0,0,0,0,0,0,0,0
ENSMUSG00000132478,0,0,1,0,0,1,0,1,0
